pattern,support,sequences
"[17, 2]",5,"[0, 2, 5, 6, 8]"
"[16, 3]",3,"[1, 5, 7]"
"[4, 14]",3,"[4, 5, 8]"
"[10, 8]",3,"[5, 6, 9]"
"[14, 3]",4,"[3, 4, 6, 7]"
"[11, 5]",7,"[0, 1, 3, 4, 5, 6, 8]"
"[16, 0]",3,"[2, 4, 8]"
"[1, 15]",3,"[0, 3, 6]"
"[15, 0]",3,"[4, 7, 9]"
"[1, 14]",5,"[4, 5, 7, 8, 9]"
"[8, 7]",4,"[0, 2, 4, 7]"
"[6, 8]",5,"[1, 3, 4, 5, 9]"
"[12, 2]",5,"[2, 4, 5, 6, 7]"
"[7, 6]",3,"[0, 4, 5]"
"[3, 10]",4,"[0, 1, 3, 4]"
"[26, 14, 19]",3,"[0, 5, 7]"
"[15, 27, 15]",3,"[2, 7, 9]"
"[27, 14, 15]",3,"[0, 4, 5]"
"[20, 16, 20]",5,"[1, 4, 7, 8, 9]"
"[20, 15, 20]",3,"[1, 4, 5]"
"[20, 16, 19]",3,"[1, 5, 9]"
"[19, 16, 19]",3,"[2, 4, 9]"
"[25, 15, 14]",3,"[1, 2, 8]"
"[20, 16, 18]",3,"[1, 2, 4]"
"[15, 18, 20]",3,"[1, 5, 7]"
"[16, 20, 16]",4,"[1, 2, 4, 7]"
"[14, 21, 16]",3,"[1, 5, 9]"
"[15, 20, 16]",3,"[1, 5, 9]"
"[16, 18, 16]",3,"[4, 5, 9]"
"[16, 18, 15]",5,"[0, 1, 7, 8, 9]"
"[14, 15, 20]",4,"[5, 7, 8, 9]"
"[14, 20, 15]",3,"[4, 5, 9]"
"[16, 15, 18]",5,"[0, 1, 7, 8, 9]"
"[12, 20, 16]",3,"[1, 4, 9]"
"[15, 18, 14]",3,"[4, 5, 9]"
"[16, 15, 16]",4,"[0, 1, 7, 9]"
"[15, 16, 15]",5,"[0, 1, 4, 7, 9]"
"[12, 11, 22]",3,"[0, 4, 5]"
"[11, 22, 12]",5,"[0, 1, 4, 5, 9]"
"[3, 26, 14]",3,"[0, 5, 8]"
"[19, 16, 6]",3,"[4, 6, 9]"
"[0, 14, 26]",3,"[4, 5, 8]"
"[12, 11, 17]",4,"[4, 5, 6, 8]"
"[7, 14, 19]",4,"[2, 3, 4, 6]"
"[15, 18, 7]",4,"[0, 3, 5, 8]"
"[12, 22, 6]",3,"[4, 8, 9]"
"[18, 15, 6]",3,"[0, 3, 9]"
"[6, 18, 15]",3,"[5, 6, 9]"
"[23, 12, 4]",3,"[1, 4, 5]"
"[6, 14, 19]",3,"[0, 4, 8]"
"[20, 9, 10]",3,"[3, 5, 8]"
"[19, 14, 6]",3,"[4, 8, 9]"
"[3, 19, 16]",3,"[1, 4, 6]"
"[0, 14, 24]",3,"[4, 8, 9]"
"[22, 12, 4]",3,"[0, 5, 9]"
"[18, 15, 5]",3,"[4, 7, 9]"
"[19, 18, 0]",3,"[0, 5, 9]"
"[11, 22, 4]",3,"[5, 8, 9]"
"[15, 18, 4]",3,"[1, 7, 9]"
"[15, 14, 8]",4,"[1, 4, 5, 9]"
"[3, 18, 16]",3,"[1, 5, 8]"
"[7, 14, 15]",3,"[0, 1, 6]"
"[13, 11, 12]",3,"[0, 1, 5]"
"[3, 19, 14]",4,"[0, 2, 8, 9]"
"[8, 17, 11]",3,"[0, 6, 8]"
"[14, 19, 3]",6,"[0, 1, 2, 4, 7, 9]"
"[14, 15, 6]",3,"[0, 5, 6]"
"[17, 12, 6]",4,"[0, 6, 8, 9]"
"[11, 6, 18]",3,"[5, 8, 9]"
"[2, 14, 19]",4,"[1, 2, 4, 7]"
"[16, 6, 13]",3,"[4, 5, 6]"
"[15, 14, 6]",3,"[0, 5, 9]"
"[23, 2, 10]",3,"[0, 3, 4]"
"[8, 10, 17]",3,"[0, 6, 8]"
"[8, 19, 8]",4,"[0, 3, 4, 9]"
"[2, 11, 22]",4,"[1, 2, 8, 9]"
"[19, 11, 4]",3,"[2, 4, 5]"
"[3, 16, 15]",4,"[4, 6, 7, 9]"
"[13, 11, 10]",3,"[1, 3, 5]"
"[2, 11, 20]",3,"[0, 7, 9]"
"[17, 12, 4]",5,"[5, 6, 7, 8, 9]"
"[3, 25, 5]",3,"[5, 7, 9]"
"[5, 11, 17]",3,"[0, 4, 8]"
"[17, 11, 4]",4,"[0, 6, 8, 9]"
"[3, 15, 14]",3,"[2, 4, 7]"
"[2, 6, 24]",3,"[1, 4, 8]"
"[5, 4, 23]",3,"[1, 4, 9]"
"[5, 8, 19]",3,"[0, 4, 5]"
"[13, 9, 10]",3,"[1, 3, 5]"
"[0, 12, 20]",3,"[4, 5, 9]"
"[3, 17, 12]",3,"[5, 8, 9]"
"[6, 23, 2]",3,"[0, 4, 8]"
"[3, 17, 11]",3,"[0, 5, 8]"
"[11, 6, 14]",4,"[0, 2, 8, 9]"
"[22, 4, 5]",3,"[3, 5, 9]"
"[17, 0, 14]",3,"[4, 8, 9]"
"[7, 1, 23]",3,"[0, 1, 4]"
"[14, 13, 3]",3,"[4, 6, 9]"
"[11, 9, 10]",3,"[1, 5, 8]"
"[10, 6, 14]",3,"[4, 5, 8]"
"[3, 19, 8]",3,"[3, 8, 9]"
"[19, 8, 3]",5,"[0, 3, 4, 7, 9]"
"[0, 6, 24]",3,"[4, 5, 9]"
"[19, 2, 8]",3,"[0, 2, 9]"
"[7, 3, 19]",3,"[3, 8, 9]"
"[8, 19, 2]",4,"[1, 2, 4, 5]"
"[14, 0, 15]",3,"[1, 2, 9]"
"[0, 15, 14]",3,"[1, 2, 5]"
"[0, 3, 26]",4,"[0, 5, 8, 9]"
"[2, 8, 19]",3,"[1, 2, 4]"
"[17, 9, 3]",4,"[0, 5, 7, 8]"
"[9, 11, 9]",3,"[0, 4, 8]"
"[12, 11, 6]",5,"[0, 4, 5, 6, 8]"
"[16, 6, 7]",4,"[1, 4, 6, 8]"
"[4, 23, 2]",3,"[0, 4, 8]"
"[11, 17, 0]",3,"[4, 5, 8]"
"[5, 0, 23]",3,"[0, 1, 9]"
"[5, 12, 11]",3,"[4, 5, 8]"
"[6, 13, 9]",3,"[1, 5, 8]"
"[8, 3, 17]",3,"[6, 8, 9]"
"[23, 4, 1]",3,"[1, 4, 9]"
"[12, 13, 3]",3,"[0, 3, 8]"
"[12, 6, 9]",3,"[1, 5, 8]"
"[24, 3, 0]",4,"[3, 4, 5, 7]"
"[11, 4, 12]",3,"[0, 4, 5]"
"[5, 3, 19]",3,"[2, 3, 5]"
"[6, 14, 7]",3,"[4, 7, 8]"
"[6, 7, 14]",3,"[2, 4, 9]"
"[19, 8, 0]",4,"[0, 3, 4, 5]"
"[13, 5, 9]",3,"[5, 8, 9]"
"[2, 8, 17]",4,"[0, 5, 6, 8]"
"[2, 11, 13]",4,"[0, 1, 2, 3]"
"[6, 14, 6]",4,"[2, 4, 5, 8]"
"[11, 4, 11]",4,"[0, 1, 4, 8]"
"[12, 5, 9]",3,"[5, 6, 9]"
"[18, 0, 8]",3,"[4, 7, 9]"
"[0, 22, 4]",3,"[3, 4, 5]"
"[5, 3, 18]",3,"[2, 5, 8]"
"[5, 3, 17]",3,"[0, 4, 8]"
"[6, 10, 9]",4,"[1, 4, 6, 9]"
"[4, 7, 14]",3,"[5, 6, 7]"
"[3, 19, 3]",3,"[0, 5, 7]"
"[2, 11, 12]",4,"[2, 4, 5, 8]"
"[1, 0, 24]",4,"[4, 6, 7, 8]"
"[4, 3, 18]",3,"[1, 4, 5]"
"[2, 10, 13]",3,"[0, 5, 9]"
"[9, 10, 5]",4,"[3, 5, 8, 9]"
"[6, 18, 0]",3,"[1, 8, 9]"
"[3, 18, 3]",3,"[5, 8, 9]"
"[4, 3, 17]",4,"[0, 5, 8, 9]"
"[2, 13, 9]",3,"[0, 3, 5]"
"[16, 6, 2]",6,"[0, 2, 4, 7, 8, 9]"
"[3, 19, 2]",3,"[2, 4, 9]"
"[10, 9, 4]",3,"[1, 3, 5]"
"[17, 1, 5]",4,"[0, 5, 6, 8]"
"[18, 4, 1]",3,"[6, 8, 9]"
"[12, 0, 11]",3,"[0, 4, 5]"
"[3, 9, 11]",3,"[0, 3, 5]"
"[2, 9, 12]",3,"[0, 3, 5]"
"[6, 11, 6]",4,"[4, 5, 8, 9]"
"[3, 0, 19]",4,"[2, 4, 5, 7]"
"[19, 3, 0]",4,"[1, 2, 5, 7]"
"[5, 12, 5]",3,"[3, 5, 7]"
"[0, 3, 19]",8,"[0, 1, 2, 3, 6, 7, 8, 9]"
"[3, 9, 10]",3,"[0, 2, 5]"
"[12, 6, 4]",3,"[1, 4, 5]"
"[14, 7, 1]",3,"[3, 4, 7]"
"[2, 14, 6]",3,"[2, 4, 9]"
"[4, 12, 6]",3,"[0, 5, 7]"
"[9, 2, 11]",3,"[2, 4, 5]"
"[11, 10, 1]",3,"[0, 4, 7]"
"[2, 11, 9]",4,"[1, 4, 8, 9]"
"[15, 7, 0]",3,"[5, 7, 9]"
"[1, 7, 14]",4,"[0, 4, 6, 7]"
"[5, 0, 17]",3,"[0, 6, 8]"
"[6, 13, 2]",3,"[0, 5, 8]"
"[9, 1, 11]",3,"[0, 3, 5]"
"[18, 0, 3]",4,"[2, 5, 7, 9]"
"[11, 9, 1]",3,"[0, 4, 8]"
"[9, 10, 2]",3,"[4, 5, 8]"
"[13, 5, 3]",3,"[4, 7, 8]"
"[7, 14, 0]",3,"[1, 5, 7]"
"[12, 6, 3]",5,"[4, 5, 6, 8, 9]"
"[3, 18, 0]",3,"[5, 7, 8]"
"[5, 4, 12]",5,"[0, 1, 3, 4, 7]"
"[11, 4, 6]",3,"[0, 1, 8]"
"[6, 11, 4]",4,"[0, 1, 7, 8]"
"[7, 5, 9]",3,"[0, 3, 5]"
"[7, 0, 14]",6,"[1, 4, 5, 7, 8, 9]"
"[0, 14, 7]",3,"[4, 5, 7]"
"[14, 7, 0]",4,"[2, 4, 7, 8]"
"[0, 19, 2]",3,"[2, 3, 4]"
"[14, 6, 1]",3,"[2, 4, 9]"
"[9, 2, 9]",3,"[0, 5, 8]"
"[2, 13, 5]",3,"[0, 1, 5]"
"[5, 7, 8]",3,"[3, 4, 5]"
"[17, 0, 3]",4,"[5, 6, 8, 9]"
"[19, 1, 0]",3,"[3, 4, 7]"
"[4, 12, 4]",3,"[1, 4, 5]"
"[11, 6, 3]",3,"[0, 2, 3]"
"[8, 3, 9]",3,"[3, 5, 9]"
"[6, 2, 12]",3,"[0, 4, 9]"
"[13, 7, 0]",3,"[0, 6, 8]"
"[12, 0, 8]",3,"[1, 2, 3]"
"[4, 10, 6]",3,"[0, 5, 8]"
"[9, 8, 3]",3,"[2, 3, 5]"
"[3, 0, 17]",4,"[0, 6, 8, 9]"
"[6, 14, 0]",3,"[5, 7, 8]"
"[0, 14, 6]",3,"[5, 8, 9]"
"[17, 1, 2]",4,"[0, 6, 8, 9]"
"[1, 0, 19]",3,"[4, 6, 9]"
"[5, 2, 13]",3,"[0, 1, 5]"
"[14, 0, 5]",3,"[4, 7, 9]"
"[2, 10, 7]",3,"[4, 5, 6]"
"[1, 17, 1]",3,"[0, 8, 9]"
"[2, 0, 17]",3,"[0, 8, 9]"
"[7, 2, 10]",5,"[0, 1, 4, 5, 6]"
"[6, 0, 13]",3,"[4, 5, 9]"
"[5, 2, 12]",3,"[0, 1, 3]"
"[0, 10, 9]",3,"[5, 6, 9]"
"[3, 12, 4]",3,"[1, 3, 5]"
"[11, 0, 8]",3,"[1, 2, 3]"
"[3, 5, 11]",4,"[0, 2, 5, 8]"
"[18, 0, 1]",4,"[4, 7, 8, 9]"
"[2, 13, 4]",6,"[0, 2, 4, 5, 6, 8]"
"[7, 0, 12]",5,"[3, 4, 5, 6, 7]"
"[8, 9, 2]",5,"[0, 2, 4, 5, 8]"
"[0, 3, 16]",6,"[0, 2, 4, 6, 7, 9]"
"[12, 7, 0]",3,"[5, 6, 7]"
"[5, 8, 6]",3,"[0, 5, 6]"
"[10, 1, 7]",6,"[1, 4, 5, 6, 7, 8]"
"[0, 3, 15]",3,"[2, 4, 7]"
"[7, 10, 1]",5,"[1, 3, 5, 6, 8]"
"[1, 8, 9]",4,"[0, 4, 7, 8]"
"[12, 4, 2]",6,"[1, 3, 4, 5, 6, 8]"
"[4, 2, 12]",3,"[1, 4, 5]"
"[5, 0, 13]",3,"[1, 2, 3]"
"[0, 17, 1]",3,"[0, 6, 8]"
"[4, 0, 14]",4,"[4, 5, 8, 9]"
"[2, 9, 7]",3,"[2, 5, 7]"
"[17, 0, 1]",4,"[4, 5, 6, 9]"
"[1, 0, 17]",3,"[0, 6, 8]"
"[9, 4, 5]",3,"[1, 5, 6]"
"[3, 5, 10]",4,"[0, 5, 6, 8]"
"[10, 7, 1]",4,"[4, 5, 6, 9]"
"[6, 0, 12]",3,"[0, 4, 5]"
"[13, 0, 5]",4,"[3, 4, 5, 8]"
"[13, 3, 2]",3,"[0, 5, 8]"
"[0, 2, 16]",4,"[1, 2, 3, 4]"
"[0, 6, 11]",4,"[0, 4, 5, 9]"
"[4, 12, 1]",3,"[4, 5, 7]"
"[4, 0, 13]",3,"[0, 4, 6]"
"[1, 13, 3]",3,"[0, 5, 8]"
"[5, 3, 9]",3,"[0, 5, 8]"
"[0, 3, 14]",3,"[5, 6, 8]"
"[7, 3, 7]",5,"[0, 2, 3, 4, 6]"
"[6, 9, 2]",3,"[4, 5, 8]"
"[9, 8, 0]",3,"[4, 5, 7]"
"[3, 13, 1]",3,"[0, 5, 7]"
"[5, 0, 12]",3,"[3, 5, 6]"
"[8, 3, 6]",4,"[4, 6, 7, 9]"
"[1, 2, 14]",3,"[2, 7, 9]"
"[7, 10, 0]",3,"[4, 5, 9]"
"[1, 0, 16]",3,"[3, 6, 9]"
"[10, 0, 7]",3,"[0, 3, 5]"
"[9, 0, 8]",5,"[0, 3, 4, 5, 8]"
"[9, 7, 1]",4,"[0, 5, 7, 8]"
"[5, 12, 0]",4,"[2, 3, 4, 5]"
"[1, 5, 11]",3,"[0, 5, 6]"
"[7, 9, 1]",3,"[2, 5, 8]"
"[8, 4, 5]",4,"[1, 2, 4, 5]"
"[0, 17, 0]",3,"[0, 6, 9]"
"[2, 5, 9]",3,"[1, 5, 6]"
"[0, 2, 14]",5,"[0, 1, 2, 4, 7]"
"[9, 0, 7]",5,"[0, 1, 3, 4, 5]"
"[4, 7, 5]",3,"[1, 4, 5]"
"[1, 3, 12]",3,"[1, 4, 5]"
"[0, 14, 2]",4,"[0, 2, 7, 8]"
"[7, 3, 6]",3,"[0, 2, 5]"
"[10, 0, 6]",3,"[3, 4, 5]"
"[7, 4, 5]",3,"[1, 3, 9]"
"[2, 9, 5]",3,"[0, 1, 5]"
"[14, 2, 0]",3,"[0, 1, 2]"
"[10, 1, 5]",3,"[0, 4, 6]"
"[3, 6, 7]",3,"[0, 3, 5]"
"[3, 8, 5]",3,"[1, 4, 6]"
"[8, 5, 3]",3,"[1, 2, 3]"
"[5, 0, 11]",3,"[0, 1, 6]"
"[5, 7, 4]",3,"[0, 1, 6]"
"[2, 11, 2]",3,"[4, 5, 8]"
"[5, 4, 6]",5,"[0, 1, 4, 5, 8]"
"[0, 3, 12]",3,"[0, 2, 4]"
"[8, 0, 7]",5,"[2, 3, 4, 5, 8]"
"[10, 0, 5]",3,"[0, 5, 8]"
"[5, 10, 0]",3,"[0, 1, 6]"
"[12, 3, 0]",3,"[3, 5, 7]"
"[4, 2, 9]",3,"[3, 4, 5]"
"[12, 0, 3]",3,"[2, 3, 5]"
"[6, 0, 9]",3,"[3, 5, 6]"
"[2, 13, 0]",4,"[1, 3, 5, 8]"
"[3, 12, 0]",3,"[2, 4, 5]"
"[6, 5, 4]",4,"[0, 5, 8, 9]"
"[3, 7, 5]",3,"[2, 3, 5]"
"[1, 5, 9]",3,"[4, 5, 9]"
"[2, 9, 4]",3,"[1, 5, 6]"
"[7, 4, 3]",3,"[0, 2, 4]"
"[0, 3, 11]",4,"[1, 3, 6, 8]"
"[5, 0, 9]",3,"[2, 3, 6]"
"[9, 3, 2]",3,"[3, 4, 5]"
"[9, 1, 4]",3,"[1, 5, 8]"
"[5, 1, 8]",5,"[0, 3, 4, 5, 7]"
"[3, 2, 9]",3,"[3, 5, 9]"
"[5, 9, 0]",4,"[0, 3, 5, 9]"
"[5, 8, 1]",3,"[0, 3, 6]"
"[7, 0, 7]",5,"[2, 3, 5, 7, 8]"
"[10, 1, 3]",3,"[0, 4, 7]"
"[3, 4, 7]",5,"[1, 3, 5, 6, 7]"
"[0, 1, 13]",3,"[0, 1, 5]"
"[0, 13, 0]",4,"[6, 7, 8, 9]"
"[10, 0, 3]",3,"[4, 5, 6]"
"[4, 3, 6]",4,"[3, 4, 5, 6]"
"[4, 7, 2]",5,"[1, 4, 5, 6, 7]"
"[8, 5, 0]",3,"[1, 6, 8]"
"[3, 9, 1]",5,"[0, 3, 5, 8, 9]"
"[1, 5, 7]",3,"[0, 5, 6]"
"[0, 8, 5]",6,"[0, 1, 2, 3, 4, 8]"
"[11, 0, 2]",3,"[3, 4, 5]"
"[5, 2, 6]",4,"[0, 1, 4, 8]"
"[1, 12, 0]",3,"[3, 4, 5]"
"[3, 8, 2]",4,"[4, 6, 7, 9]"
"[7, 5, 0]",3,"[5, 6, 8]"
"[4, 6, 2]",3,"[1, 4, 5]"
"[2, 6, 4]",3,"[0, 4, 5]"
"[0, 7, 5]",3,"[3, 6, 8]"
"[3, 7, 2]",3,"[4, 8, 9]"
"[3, 8, 1]",3,"[4, 7, 9]"
"[0, 1, 11]",4,"[1, 4, 5, 6]"
"[1, 8, 3]",3,"[1, 5, 6]"
"[2, 6, 3]",4,"[0, 4, 8, 9]"
"[7, 3, 1]",3,"[5, 7, 8]"
"[5, 6, 0]",3,"[2, 3, 4]"
"[5, 1, 5]",4,"[0, 1, 3, 5]"
"[0, 11, 0]",3,"[1, 3, 4]"
"[3, 1, 7]",5,"[1, 4, 5, 7, 8]"
"[3, 6, 2]",5,"[0, 1, 4, 6, 8]"
"[0, 1, 10]",3,"[2, 4, 8]"
"[0, 9, 2]",4,"[1, 2, 3, 5]"
"[0, 6, 5]",4,"[5, 6, 7, 9]"
"[2, 7, 2]",3,"[0, 2, 5]"
"[4, 6, 1]",3,"[1, 6, 8]"
"[5, 4, 2]",4,"[0, 2, 5, 9]"
"[6, 4, 1]",3,"[0, 4, 5]"
"[0, 8, 2]",3,"[1, 4, 8]"
"[1, 7, 2]",3,"[3, 5, 6]"
"[1, 4, 5]",4,"[4, 5, 8, 9]"
"[6, 0, 4]",3,"[0, 2, 4]"
"[3, 4, 3]",4,"[3, 4, 5, 8]"
"[2, 3, 5]",3,"[3, 5, 7]"
"[0, 9, 0]",6,"[0, 3, 4, 5, 7, 9]"
"[0, 4, 5]",3,"[0, 4, 9]"
"[0, 7, 2]",4,"[0, 4, 5, 7]"
"[8, 1, 0]",4,"[1, 4, 6, 7]"
"[5, 0, 4]",4,"[2, 4, 6, 9]"
"[1, 2, 5]",5,"[0, 1, 2, 4, 5]"
"[1, 6, 1]",5,"[0, 3, 4, 5, 6]"
"[2, 1, 4]",3,"[5, 6, 9]"
"[1, 6, 0]",4,"[0, 3, 4, 9]"
"[1, 2, 4]",4,"[0, 1, 5, 9]"
"[0, 1, 4]",4,"[1, 4, 5, 7]"
"[1, 4, 0]",5,"[1, 4, 5, 7, 8]"
"[20, 15, 18, 15]",3,"[4, 5, 8]"
"[16, 20, 15, 16]",3,"[1, 4, 5]"
"[18, 15, 18, 16]",3,"[5, 7, 8]"
"[15, 14, 19, 18]",3,"[1, 4, 8]"
"[18, 15, 14, 19]",4,"[0, 2, 4, 8]"
"[15, 14, 19, 16]",3,"[2, 4, 9]"
"[15, 18, 15, 16]",4,"[1, 4, 7, 8]"
"[15, 14, 19, 14]",5,"[1, 2, 4, 7, 8]"
"[14, 15, 14, 19]",4,"[1, 4, 7, 9]"
"[16, 15, 14, 15]",3,"[4, 7, 9]"
"[19, 14, 19, 2]",3,"[0, 2, 9]"
"[14, 19, 14, 7]",3,"[4, 6, 7]"
"[18, 15, 18, 0]",3,"[2, 7, 9]"
"[0, 18, 15, 14]",4,"[2, 4, 7, 9]"
"[0, 14, 15, 18]",4,"[1, 2, 3, 4]"
"[0, 14, 19, 14]",4,"[0, 2, 4, 7]"
"[14, 19, 14, 0]",3,"[0, 5, 7]"
"[9, 11, 17, 9]",3,"[1, 5, 6]"
"[8, 12, 22, 4]",3,"[0, 5, 9]"
"[8, 10, 4, 23]",3,"[1, 4, 6]"
"[7, 3, 18, 15]",3,"[5, 7, 9]"
"[15, 18, 8, 0]",5,"[0, 1, 7, 8, 9]"
"[0, 14, 19, 8]",3,"[0, 4, 7]"
"[17, 9, 11, 4]",3,"[0, 6, 8]"
"[0, 8, 19, 14]",4,"[0, 1, 2, 8]"
"[2, 11, 4, 23]",4,"[0, 4, 5, 9]"
"[17, 9, 10, 4]",3,"[0, 4, 6]"
"[8, 9, 11, 12]",3,"[2, 5, 8]"
"[11, 10, 9, 10]",3,"[1, 4, 8]"
"[11, 10, 6, 13]",3,"[0, 5, 8]"
"[9, 10, 9, 11]",4,"[0, 1, 6, 8]"
"[10, 6, 13, 10]",3,"[1, 4, 5]"
"[9, 11, 12, 6]",3,"[0, 1, 8]"
"[8, 10, 9, 11]",3,"[0, 4, 8]"
"[6, 13, 6, 13]",3,"[0, 4, 5]"
"[12, 22, 4, 0]",4,"[0, 4, 5, 9]"
"[6, 13, 17, 1]",3,"[0, 8, 9]"
"[16, 19, 2, 0]",3,"[1, 4, 5]"
"[0, 11, 17, 9]",3,"[0, 8, 9]"
"[14, 15, 7, 1]",3,"[4, 6, 7]"
"[8, 10, 9, 10]",3,"[0, 1, 8]"
"[14, 15, 8, 0]",3,"[3, 4, 6]"
"[15, 14, 0, 8]",4,"[1, 2, 4, 5]"
"[7, 10, 9, 10]",4,"[0, 1, 5, 7]"
"[5, 12, 6, 13]",3,"[5, 8, 9]"
"[6, 13, 8, 9]",4,"[0, 2, 5, 9]"
"[9, 11, 12, 4]",4,"[0, 2, 4, 5]"
"[0, 2, 12, 22]",3,"[4, 5, 6]"
"[14, 6, 13, 3]",3,"[4, 5, 8]"
"[0, 6, 13, 17]",3,"[0, 6, 9]"
"[14, 19, 2, 1]",3,"[4, 5, 9]"
"[7, 10, 6, 13]",3,"[1, 3, 5]"
"[10, 9, 12, 4]",3,"[3, 5, 6]"
"[12, 6, 13, 4]",3,"[0, 5, 8]"
"[10, 6, 9, 10]",4,"[0, 4, 5, 8]"
"[2, 0, 14, 19]",3,"[2, 4, 9]"
"[0, 14, 19, 2]",4,"[2, 3, 4, 7]"
"[0, 6, 14, 15]",3,"[6, 7, 9]"
"[14, 19, 2, 0]",4,"[2, 4, 7, 9]"
"[1, 0, 12, 22]",4,"[0, 1, 4, 9]"
"[0, 2, 19, 14]",3,"[1, 2, 8]"
"[6, 9, 10, 9]",3,"[2, 4, 6]"
"[1, 0, 18, 15]",3,"[0, 4, 5]"
"[9, 11, 10, 4]",4,"[0, 1, 5, 6]"
"[10, 6, 13, 5]",3,"[1, 5, 8]"
"[8, 17, 9, 0]",3,"[0, 5, 9]"
"[11, 12, 4, 7]",4,"[0, 1, 2, 5]"
"[6, 13, 10, 4]",4,"[1, 3, 4, 5]"
"[12, 4, 8, 9]",3,"[4, 5, 8]"
"[8, 0, 8, 17]",3,"[0, 4, 5]"
"[13, 0, 8, 12]",3,"[1, 6, 8]"
"[4, 8, 9, 11]",3,"[2, 3, 4]"
"[10, 4, 8, 10]",3,"[1, 4, 5]"
"[14, 15, 3, 0]",3,"[1, 5, 6]"
"[11, 4, 8, 9]",4,"[1, 4, 5, 9]"
"[10, 9, 1, 12]",4,"[0, 1, 4, 6]"
"[3, 0, 14, 15]",5,"[1, 2, 4, 6, 7]"
"[9, 10, 6, 7]",3,"[1, 3, 8]"
"[9, 11, 4, 8]",4,"[1, 2, 4, 8]"
"[6, 9, 11, 6]",3,"[1, 6, 8]"
"[15, 14, 0, 2]",3,"[1, 4, 5]"
"[5, 8, 12, 6]",3,"[0, 3, 4]"
"[4, 8, 9, 10]",3,"[1, 5, 8]"
"[12, 4, 5, 10]",3,"[3, 6, 7]"
"[8, 12, 4, 7]",3,"[5, 7, 8]"
"[6, 24, 1, 0]",3,"[4, 5, 8]"
"[9, 10, 4, 8]",4,"[0, 1, 4, 5]"
"[10, 4, 8, 9]",3,"[0, 4, 5]"
"[14, 6, 2, 9]",3,"[0, 4, 8]"
"[10, 6, 2, 13]",3,"[0, 3, 8]"
"[1, 11, 6, 13]",3,"[3, 8, 9]"
"[0, 12, 6, 13]",3,"[0, 1, 5]"
"[10, 4, 11, 6]",3,"[0, 1, 2]"
"[13, 11, 4, 3]",3,"[0, 5, 6]"
"[2, 13, 11, 4]",3,"[0, 5, 9]"
"[0, 13, 11, 6]",4,"[0, 4, 5, 8]"
"[4, 7, 10, 9]",3,"[1, 4, 5]"
"[3, 8, 10, 9]",4,"[0, 4, 6, 8]"
