pattern,support,sequences
"[4, 2, 10]",5,"[0, 3, 4, 5, 6]"
"[4, 1, 11]",3,"[0, 5, 8]"
"[2, 5, 9]",5,"[1, 3, 5, 6, 7]"
"[1, 6, 9]",3,"[4, 5, 9]"
"[3, 7, 5]",3,"[2, 3, 5]"
"[4, 7, 4]",3,"[1, 4, 8]"
"[6, 5, 4]",3,"[0, 8, 9]"
"[1, 5, 9]",4,"[3, 4, 5, 8]"
"[7, 4, 3]",3,"[0, 2, 6]"
"[5, 9, 0]",4,"[0, 5, 7, 9]"
"[7, 0, 7]",4,"[1, 2, 5, 8]"
"[6, 0, 8]",6,"[0, 3, 4, 6, 8, 9]"
"[5, 3, 6]",4,"[0, 2, 3, 5]"
"[0, 8, 5]",4,"[1, 4, 5, 8]"
"[1, 5, 7]",3,"[2, 3, 6]"
"[9, 3, 1]",3,"[0, 5, 8]"
"[3, 9, 1]",3,"[3, 5, 7]"
"[2, 9, 2]",3,"[1, 3, 5]"
"[8, 4, 0]",3,"[0, 3, 8]"
"[9, 2, 1]",3,"[0, 1, 2]"
"[5, 0, 7]",3,"[0, 5, 9]"
"[5, 4, 2]",5,"[0, 4, 5, 7, 9]"
"[0, 7, 4]",4,"[0, 2, 5, 6]"
"[4, 3, 4]",4,"[0, 5, 6, 8]"
"[7, 3, 1]",3,"[1, 5, 8]"
"[4, 6, 0]",3,"[0, 5, 6]"
"[3, 6, 1]",3,"[0, 3, 6]"
"[6, 3, 0]",4,"[0, 1, 5, 8]"
"[5, 0, 4]",4,"[3, 4, 6, 9]"
"[0, 9, 0]",4,"[0, 3, 4, 5]"
"[4, 0, 4]",3,"[5, 6, 9]"
"[4, 2, 1]",6,"[0, 1, 5, 6, 7, 9]"
"[2, 5, 0]",4,"[0, 3, 5, 8]"
"[1, 3, 1]",3,"[1, 8, 9]"
"[27, 14, 15, 20]",3,"[0, 1, 5]"
"[19, 16, 21, 16]",3,"[0, 4, 5]"
"[20, 15, 21, 16]",3,"[4, 5, 9]"
"[21, 16, 20, 15]",3,"[4, 5, 8]"
"[15, 21, 16, 20]",4,"[1, 4, 5, 8]"
"[16, 21, 16, 19]",3,"[0, 4, 9]"
"[21, 16, 21, 14]",3,"[0, 1, 4]"
"[16, 21, 16, 18]",3,"[1, 8, 9]"
"[15, 20, 16, 19]",3,"[1, 5, 9]"
"[21, 16, 18, 15]",3,"[1, 7, 8]"
"[16, 20, 14, 20]",3,"[1, 4, 5]"
"[18, 15, 20, 16]",3,"[1, 4, 9]"
"[16, 21, 16, 15]",4,"[1, 4, 7, 9]"
"[18, 15, 18, 16]",3,"[5, 7, 8]"
"[15, 21, 16, 15]",5,"[0, 1, 4, 7, 9]"
"[14, 15, 21, 16]",4,"[4, 7, 8, 9]"
"[18, 15, 14, 19]",4,"[0, 2, 4, 8]"
"[15, 14, 19, 18]",3,"[1, 4, 8]"
"[16, 21, 14, 15]",3,"[0, 1, 8]"
"[16, 20, 14, 15]",3,"[1, 4, 9]"
"[20, 15, 14, 15]",3,"[4, 5, 8]"
"[15, 18, 15, 16]",3,"[1, 7, 9]"
"[8, 12, 32, 12]",3,"[1, 3, 4]"
"[20, 14, 15, 14]",4,"[1, 4, 7, 9]"
"[15, 14, 19, 14]",5,"[1, 2, 4, 7, 8]"
"[22, 12, 22, 4]",3,"[3, 4, 5]"
"[3, 8, 30, 15]",3,"[0, 1, 4]"
"[11, 28, 11, 6]",3,"[2, 3, 5]"
"[14, 15, 18, 8]",3,"[2, 4, 7]"
"[7, 14, 19, 14]",3,"[2, 4, 6]"
"[8, 12, 22, 12]",3,"[3, 5, 8]"
"[11, 28, 11, 4]",5,"[1, 2, 3, 4, 5]"
"[14, 19, 14, 7]",3,"[4, 6, 7]"
"[18, 15, 14, 6]",4,"[0, 1, 2, 5]"
"[6, 14, 19, 14]",3,"[4, 8, 9]"
"[12, 22, 12, 6]",3,"[3, 4, 8]"
"[5, 12, 22, 12]",3,"[3, 5, 9]"
"[15, 14, 19, 3]",3,"[1, 7, 9]"
"[15, 14, 19, 2]",3,"[1, 2, 7]"
"[16, 20, 14, 0]",4,"[0, 3, 7, 9]"
"[9, 11, 17, 12]",3,"[0, 6, 9]"
"[11, 22, 12, 4]",3,"[0, 3, 9]"
"[28, 11, 4, 5]",3,"[1, 2, 4]"
"[2, 12, 22, 12]",3,"[0, 4, 5]"
"[0, 18, 15, 14]",4,"[2, 4, 5, 9]"
"[6, 13, 17, 9]",3,"[0, 5, 6]"
"[20, 16, 6, 2]",3,"[4, 8, 9]"
"[8, 6, 13, 17]",3,"[2, 4, 5]"
"[11, 17, 12, 4]",3,"[6, 8, 9]"
"[3, 7, 14, 19]",3,"[3, 4, 9]"
"[7, 3, 18, 15]",3,"[5, 7, 9]"
"[20, 9, 10, 4]",3,"[4, 5, 8]"
"[0, 3, 26, 14]",4,"[0, 5, 7, 8]"
"[9, 10, 6, 18]",3,"[0, 4, 9]"
"[17, 24, 1, 0]",4,"[0, 4, 6, 9]"
"[14, 19, 8, 0]",3,"[0, 4, 9]"
"[0, 8, 19, 14]",5,"[0, 1, 2, 5, 8]"
"[6, 14, 19, 2]",5,"[2, 4, 5, 8, 9]"
"[1, 0, 14, 26]",3,"[5, 6, 7]"
"[11, 10, 6, 13]",5,"[0, 4, 5, 6, 8]"
"[2, 11, 4, 23]",4,"[0, 4, 5, 9]"
"[0, 3, 16, 21]",3,"[0, 7, 9]"
"[8, 17, 11, 4]",3,"[6, 8, 9]"
"[3, 17, 9, 11]",3,"[0, 5, 8]"
"[11, 10, 9, 10]",3,"[1, 4, 8]"
"[17, 9, 10, 4]",4,"[0, 4, 5, 6]"
"[10, 4, 8, 17]",3,"[0, 5, 6]"
"[0, 6, 14, 19]",3,"[2, 4, 8]"
"[10, 6, 13, 10]",3,"[4, 5, 6]"
"[6, 13, 3, 17]",3,"[0, 1, 8]"
"[6, 13, 10, 9]",3,"[1, 4, 6]"
"[11, 17, 9, 1]",4,"[0, 1, 8, 9]"
"[13, 11, 10, 4]",3,"[1, 3, 9]"
"[12, 22, 4, 0]",4,"[0, 3, 4, 9]"
"[11, 6, 13, 8]",3,"[1, 3, 9]"
"[17, 12, 4, 5]",3,"[6, 7, 8]"
"[17, 9, 3, 8]",3,"[0, 7, 8]"
"[1, 2, 12, 22]",3,"[0, 5, 8]"
"[8, 10, 9, 10]",4,"[0, 1, 4, 8]"
"[8, 17, 9, 3]",3,"[0, 7, 9]"
"[16, 19, 2, 0]",4,"[1, 4, 5, 9]"
"[0, 2, 12, 22]",3,"[4, 5, 9]"
"[11, 6, 9, 10]",4,"[1, 2, 8, 9]"
"[2, 0, 12, 22]",3,"[3, 4, 5]"
"[12, 6, 13, 5]",3,"[3, 8, 9]"
"[0, 3, 19, 14]",5,"[2, 3, 5, 8, 9]"
"[9, 11, 12, 4]",3,"[0, 4, 5]"
"[12, 4, 3, 17]",3,"[0, 5, 9]"
"[0, 3, 25, 8]",3,"[3, 5, 7]"
"[3, 0, 18, 15]",4,"[2, 5, 6, 9]"
"[1, 2, 11, 22]",3,"[1, 3, 9]"
"[5, 4, 23, 4]",3,"[1, 4, 9]"
"[6, 13, 5, 12]",3,"[0, 3, 8]"
"[10, 6, 9, 10]",4,"[0, 4, 5, 8]"
"[0, 14, 19, 2]",3,"[3, 4, 7]"
"[6, 13, 10, 6]",4,"[0, 1, 5, 8]"
"[9, 11, 6, 9]",5,"[0, 1, 2, 5, 9]"
"[0, 2, 19, 14]",3,"[1, 7, 8]"
"[0, 14, 15, 6]",3,"[4, 5, 6]"
"[5, 10, 9, 11]",3,"[0, 4, 8]"
"[0, 6, 14, 15]",3,"[6, 7, 9]"
"[19, 14, 0, 2]",3,"[2, 4, 9]"
"[8, 17, 9, 1]",3,"[0, 4, 6]"
"[8, 0, 8, 19]",3,"[1, 4, 8]"
"[5, 11, 6, 13]",3,"[0, 2, 8]"
"[14, 19, 2, 0]",3,"[2, 7, 9]"
"[2, 0, 14, 19]",4,"[2, 3, 4, 9]"
"[9, 11, 10, 4]",4,"[1, 2, 5, 6]"
"[2, 9, 11, 12]",3,"[0, 1, 5]"
"[6, 9, 10, 9]",4,"[2, 4, 6, 8]"
"[5, 8, 19, 2]",3,"[0, 4, 5]"
"[19, 14, 0, 1]",3,"[0, 5, 7]"
"[1, 0, 14, 19]",3,"[0, 4, 9]"
"[11, 6, 7, 10]",3,"[1, 4, 5]"
"[12, 4, 5, 12]",3,"[4, 6, 9]"
"[9, 11, 6, 7]",3,"[1, 4, 5]"
"[4, 3, 17, 9]",3,"[5, 8, 9]"
"[0, 14, 6, 13]",3,"[0, 5, 6]"
"[3, 0, 6, 24]",3,"[4, 5, 6]"
"[12, 4, 8, 9]",3,"[3, 5, 8]"
"[2, 11, 6, 14]",3,"[2, 5, 8]"
"[5, 0, 23, 4]",3,"[1, 3, 6]"
"[10, 9, 1, 12]",3,"[1, 4, 6]"
"[3, 0, 3, 26]",3,"[0, 5, 7]"
"[6, 7, 10, 9]",3,"[1, 4, 7]"
"[12, 11, 4, 5]",4,"[0, 1, 4, 5]"
"[14, 15, 3, 0]",4,"[1, 5, 6, 8]"
"[11, 4, 8, 9]",4,"[1, 5, 6, 9]"
"[6, 9, 11, 6]",4,"[1, 6, 8, 9]"
"[9, 10, 4, 8]",6,"[0, 1, 2, 4, 5, 6]"
"[0, 6, 24, 1]",3,"[4, 6, 9]"
"[12, 4, 5, 10]",3,"[3, 6, 7]"
"[13, 11, 4, 3]",5,"[0, 4, 5, 6, 8]"
"[24, 1, 0, 6]",3,"[4, 8, 9]"
"[8, 12, 4, 7]",3,"[5, 7, 8]"
"[12, 11, 6, 2]",3,"[5, 8, 9]"
"[10, 4, 8, 9]",3,"[4, 5, 9]"
"[4, 5, 3, 19]",3,"[2, 3, 5]"
"[6, 13, 4, 8]",3,"[1, 3, 4]"
"[4, 8, 9, 10]",4,"[3, 5, 8, 9]"
"[14, 6, 2, 9]",4,"[0, 4, 5, 8]"
"[11, 17, 1, 2]",3,"[6, 8, 9]"
"[0, 6, 23, 2]",4,"[4, 6, 8, 9]"
"[5, 8, 12, 6]",3,"[0, 3, 4]"
"[2, 12, 11, 6]",3,"[5, 6, 8]"
"[1, 0, 6, 23]",4,"[4, 6, 7, 9]"
"[11, 10, 4, 5]",5,"[1, 2, 5, 6, 9]"
"[6, 13, 4, 7]",4,"[4, 5, 6, 8]"
"[3, 17, 9, 1]",4,"[0, 4, 8, 9]"
"[11, 6, 2, 11]",3,"[4, 5, 8]"
"[0, 13, 11, 6]",4,"[0, 5, 6, 8]"
"[11, 4, 11, 4]",3,"[0, 3, 4]"
"[5, 9, 12, 4]",3,"[4, 5, 6]"
"[3, 8, 10, 9]",3,"[0, 4, 8]"
"[4, 7, 10, 9]",3,"[1, 4, 5]"
"[20, 9, 1, 0]",3,"[0, 3, 8]"
"[0, 2, 11, 17]",3,"[5, 8, 9]"
"[10, 6, 2, 12]",3,"[1, 4, 5]"
"[0, 11, 10, 9]",4,"[0, 1, 4, 9]"
"[0, 11, 6, 13]",4,"[0, 4, 5, 8]"
"[6, 9, 11, 4]",4,"[0, 4, 5, 6]"
"[1, 0, 14, 15]",3,"[4, 5, 7]"
"[8, 10, 4, 7]",4,"[0, 1, 4, 5]"
"[14, 0, 11, 4]",3,"[4, 5, 9]"
"[3, 7, 10, 9]",4,"[0, 4, 5, 6]"
"[8, 3, 8, 10]",3,"[0, 2, 4]"
"[0, 3, 17, 9]",3,"[0, 2, 4]"
"[4, 5, 8, 12]",5,"[0, 1, 4, 5, 6]"
"[8, 19, 2, 0]",3,"[1, 2, 5]"
"[6, 7, 10, 6]",4,"[1, 5, 6, 8]"
"[17, 9, 3, 0]",3,"[0, 5, 9]"
"[11, 17, 0, 1]",3,"[4, 5, 8]"
"[19, 8, 0, 2]",3,"[0, 3, 4]"
"[9, 3, 8, 9]",5,"[0, 2, 3, 8, 9]"
"[6, 13, 4, 6]",4,"[2, 5, 6, 8]"
"[17, 9, 1, 2]",3,"[0, 4, 9]"
"[0, 12, 11, 6]",3,"[0, 5, 6]"
"[8, 17, 1, 2]",3,"[0, 3, 5]"
"[3, 8, 17, 0]",3,"[0, 5, 6]"
"[17, 9, 0, 2]",3,"[0, 5, 6]"
"[12, 4, 5, 7]",5,"[1, 2, 3, 4, 7]"
"[9, 1, 12, 6]",3,"[0, 1, 5]"
"[8, 17, 0, 3]",3,"[5, 6, 9]"
"[3, 5, 3, 17]",3,"[0, 4, 8]"
"[8, 3, 8, 9]",4,"[0, 1, 5, 9]"
"[12, 6, 7, 3]",3,"[5, 6, 9]"
"[3, 0, 8, 17]",5,"[0, 4, 6, 8, 9]"
"[6, 14, 6, 2]",4,"[2, 4, 5, 8]"
"[14, 6, 7, 1]",4,"[4, 5, 7, 9]"
"[2, 11, 6, 9]",3,"[0, 1, 4]"
"[11, 12, 4, 1]",3,"[4, 5, 8]"
"[5, 4, 6, 13]",3,"[0, 1, 5]"
"[23, 2, 1, 2]",3,"[1, 5, 7]"
"[0, 9, 10, 9]",3,"[1, 3, 4]"
"[4, 5, 10, 9]",3,"[3, 6, 7]"
"[3, 5, 8, 12]",3,"[0, 3, 4]"
"[7, 3, 8, 10]",3,"[4, 5, 6]"
"[23, 4, 1, 0]",4,"[1, 4, 6, 9]"
"[8, 9, 3, 8]",3,"[0, 3, 9]"
"[6, 13, 5, 4]",6,"[0, 1, 2, 3, 5, 6]"
"[2, 11, 4, 11]",3,"[3, 4, 8]"
"[2, 0, 8, 17]",3,"[0, 5, 9]"
"[10, 9, 0, 8]",3,"[3, 4, 5]"
"[3, 0, 8, 16]",3,"[0, 2, 8]"
"[4, 7, 10, 6]",3,"[0, 1, 5]"
"[11, 6, 7, 3]",3,"[4, 6, 7]"
"[6, 13, 8, 0]",3,"[1, 3, 8]"
"[7, 10, 4, 6]",3,"[4, 5, 6]"
"[2, 12, 6, 7]",3,"[2, 4, 5]"
"[6, 13, 1, 7]",4,"[0, 4, 5, 6]"
"[4, 6, 13, 4]",3,"[0, 1, 5]"
"[2, 10, 6, 9]",3,"[0, 5, 8]"
"[8, 17, 0, 2]",4,"[0, 4, 6, 9]"
"[6, 13, 5, 3]",4,"[2, 4, 7, 8]"
"[5, 3, 8, 10]",3,"[0, 4, 8]"
"[10, 6, 9, 1]",4,"[0, 5, 6, 8]"
"[8, 0, 8, 10]",4,"[0, 4, 6, 9]"
"[9, 1, 12, 4]",4,"[3, 4, 5, 6]"
"[2, 6, 13, 5]",3,"[0, 4, 6]"
"[23, 2, 1, 0]",3,"[4, 8, 9]"
"[5, 2, 6, 13]",3,"[0, 2, 5]"
"[2, 8, 12, 4]",3,"[2, 4, 5]"
"[10, 6, 7, 3]",3,"[0, 5, 8]"
"[9, 10, 6, 1]",5,"[0, 4, 5, 7, 8]"
"[3, 7, 10, 6]",3,"[0, 4, 5]"
"[17, 1, 0, 8]",5,"[0, 1, 6, 7, 8]"
"[9, 12, 4, 1]",3,"[0, 3, 6]"
"[11, 6, 2, 7]",3,"[4, 5, 7]"
"[7, 10, 9, 0]",4,"[4, 5, 6, 9]"
"[9, 11, 6, 0]",3,"[0, 3, 8]"
"[7, 10, 4, 5]",3,"[1, 2, 5]"
"[7, 0, 6, 13]",5,"[0, 5, 6, 8, 9]"
"[13, 3, 7, 3]",3,"[4, 6, 8]"
"[11, 4, 3, 8]",5,"[0, 1, 5, 8, 9]"
"[15, 3, 0, 8]",3,"[1, 6, 9]"
"[2, 0, 13, 11]",3,"[3, 4, 5]"
"[12, 4, 7, 3]",3,"[3, 4, 5]"
"[3, 5, 8, 10]",3,"[3, 4, 5]"
"[9, 11, 4, 2]",3,"[0, 7, 9]"
"[0, 23, 2, 1]",3,"[1, 5, 8]"
"[18, 3, 0, 5]",3,"[0, 7, 8]"
"[0, 6, 9, 11]",3,"[4, 8, 9]"
"[18, 7, 1, 0]",5,"[0, 2, 7, 8, 9]"
"[2, 6, 7, 10]",3,"[1, 4, 7]"
"[3, 0, 3, 19]",4,"[1, 2, 7, 8]"
"[5, 4, 12, 4]",3,"[3, 4, 7]"
"[2, 11, 4, 8]",3,"[1, 4, 9]"
"[5, 8, 9, 3]",3,"[3, 4, 5]"
"[4, 5, 4, 12]",3,"[0, 3, 4]"
"[1, 0, 13, 11]",4,"[0, 5, 6, 8]"
"[7, 0, 12, 6]",3,"[4, 6, 7]"
"[9, 10, 4, 2]",4,"[1, 3, 4, 5]"
"[6, 0, 6, 13]",3,"[0, 4, 8]"
"[16, 6, 2, 1]",3,"[2, 4, 7]"
"[0, 2, 11, 12]",4,"[2, 4, 5, 8]"
